ant_number,beam_file
0,/home/herastore02-1/HERA_Validation_rchandra/airy_beam_14.0m_decay_0.3dBdeg_start_70.0deg.fits
1,/home/herastore02-1/HERA_Validation_rchandra/airy_beam_14.1m_decay_0.3dBdeg_start_70.0deg.fits
2,/home/herastore02-1/HERA_Validation_rchandra/airy_beam_14.0m_decay_0.3dBdeg_start_70.0deg.fits
3,/home/herastore02-1/HERA_Validation_rchandra/airy_beam_14.0m_decay_0.3dBdeg_start_70.0deg.fits
4,/home/herastore02-1/HERA_Validation_rchandra/airy_beam_14.1m_decay_0.3dBdeg_start_70.0deg.fits
5,/home/herastore02-1/HERA_Validation_rchandra/airy_beam_13.9m_decay_0.3dBdeg_start_70.0deg.fits
6,/home/herastore02-1/HERA_Validation_rchandra/airy_beam_14.0m_decay_0.3dBdeg_start_70.0deg.fits
7,/home/herastore02-1/HERA_Validation_rchandra/airy_beam_14.0m_decay_0.3dBdeg_start_70.0deg.fits
8,/home/herastore02-1/HERA_Validation_rchandra/airy_beam_14.2m_decay_0.3dBdeg_start_70.0deg.fits
9,/home/herastore02-1/HERA_Validation_rchandra/airy_beam_14.0m_decay_0.3dBdeg_start_70.0deg.fits
