# Number	E	N	U
0 -1.050353012185688755e+02 -1.107220525253504917e+02 9.181712072907330935e-01
1 -9.042745874228654657e+01 -1.106662641729250396e+02 9.183957800148689898e-01
2 -7.581961707560262198e+01 -1.106104766907135115e+02 9.685869311437613760e-01
3 -6.121177376505125522e+01 -1.105546862508545018e+02 8.487446610169513406e-01
4 -4.660393202151819025e+01 -1.104988977255713394e+02 8.388689694411297637e-01
5 -3.199609058921127769e+01 -1.104431093754455162e+02 8.389598538751883439e-01
6 -1.738824937304673313e+01 -1.103873210248965933e+02 8.390173183718871996e-01
7 -2.780408363069298616e+00 -1.103315323269603141e+02 8.190413575943154001e-01
8 1.182743261680413482e+01 -1.102757462334284781e+02 9.490319774450099999e-01
9 2.643527294079646239e+01 -1.102199558020361678e+02 8.289891746438655673e-01
10 4.104311384954967679e+01 -1.101641690136443117e+02 9.189129495586385588e-01
11 -1.123875194410649385e+02 -9.810314478048937303e+01 8.082534114228820954e-01
12 -9.777967588381595476e+01 -9.804735538257715177e+01 7.284946963203395853e-01
13 -8.317183355848055726e+01 -9.799156675520522697e+01 6.987025578069463450e-01
14 -6.856399276687631072e+01 -9.793577982381000879e+01 7.788769983526080409e-01
15 -5.395615064149764351e+01 -9.787999073558376040e+01 7.190180173594171720e-01
16 -3.934830937564284170e+01 -9.782420257222878490e+01 7.191256118457118873e-01
17 -2.474046828642192963e+01 -9.776841425735905489e+01 7.091997866109238657e-01
18 -1.013262749031883203e+01 -9.771262624770747607e+01 7.192405370103003293e-01
19 4.475213129150382940e+00 -9.765683808574056002e+01 7.192478672128217454e-01
20 1.908305359199639284e+01 -9.760105023242749667e+01 7.392217745601854517e-01
21 3.369089393080110995e+01 -9.754526237611263184e+01 7.591622617519035998e-01
22 5.561874079892059086e+01 -1.016738442600549632e+02 7.589441670967858045e-01
23 -1.197397749512055896e+02 -8.547423150280398829e+01 6.683022218868330810e-01
24 -1.051319331609428076e+02 -8.541844379606493476e+01 6.885602156085397496e-01
25 -9.052409191919824138e+01 -8.536265649080240792e+01 7.387847886020679766e-01
26 -7.591624899832683582e+01 -8.530686730451301969e+01 6.489759380843267422e-01
27 -6.130840833716660399e+01 -8.525108040144095867e+01 7.291336666759207219e-01
28 -4.670056613518706712e+01 -8.519529095000477525e+01 6.192579731287892741e-01
29 -3.209272505471476933e+01 -8.513950257242073860e+01 5.893488581177805941e-01
30 -1.748488438069199447e+01 -8.508371446415705464e+01 5.794063189881057951e-01
31 -2.877044031977481708e+00 -8.502792823093926700e+01 7.094303611973558077e-01
32 1.173079623678488659e+01 -8.497213865091190144e+01 5.894209783979391659e-01
33 2.633863635898816824e+01 -8.491635107802767379e+01 6.193781731349758957e-01
34 4.826652121833012643e+01 -8.905493884155185924e+01 6.391933975447727789e-01
35 6.287436069192231258e+01 -8.899915066648927109e+01 6.290670382971867980e-01
36 -1.270919908257394439e+02 -7.285532340239880966e+01 4.783173466514085703e-01
37 -1.124841511464934598e+02 -7.279953698769324433e+01 5.985920517992369128e-01
38 -9.787630883307699037e+01 -7.274374885344194297e+01 5.688333345246867623e-01
39 -8.326846661178672093e+01 -7.268796049256015124e+01 5.190411947741857546e-01
40 -6.866062580214664024e+01 -7.263217316065042439e+01 5.592156340587806085e-01
41 -5.405278409218075097e+01 -7.257638457367130513e+01 4.893566493742724788e-01
42 -3.944494328968081476e+01 -7.252059667201805837e+01 4.794642458446531919e-01
43 -2.483710274774942661e+01 -7.246480876969192764e+01 4.695384182404076512e-01
44 -1.022926251536039821e+01 -7.240902121142809733e+01 4.895791680783609934e-01
45 4.378577585958055352e+00 -7.235323354006898455e+01 4.995864964393028629e-01
46 1.898641766592615454e+01 -7.229744643684190919e+01 5.595604019976079258e-01
47 4.091426361748114005e+01 -7.642602797097450207e+01 4.894092178506426194e-01
48 5.552210321633542378e+01 -7.637024048488463279e+01 5.192995692548336706e-01
49 7.012994218690207049e+01 -7.631445239728618901e+01 4.991564990790138268e-01
50 -1.344442452075462029e+02 -6.022641086814677891e+01 3.282990321980356896e-01
51 -1.198364038375720639e+02 -6.017062336057590244e+01 3.385904489575324305e-01
52 -1.052285631308272400e+02 -6.011483613745786414e+01 3.788484441121724444e-01
53 -9.062072202930889375e+01 -6.005904863037007146e+01 3.890730151140147086e-01
54 -7.601288097769246122e+01 -6.000326103030186431e+01 3.892641636050200304e-01
55 -6.140503985370047246e+01 -5.994747314577109876e+01 3.594218905955237631e-01
56 -4.679719937522549600e+01 -5.989168563930149958e+01 3.695461958745589470e-01
57 -3.218935906543475056e+01 -5.983589813482784336e+01 3.796370798801156354e-01
58 -1.758151881583673415e+01 -5.978011025384495269e+01 3.496945398639255131e-01
59 -2.973678933073697905e+00 -5.972432265586579092e+01 3.497185788583330179e-01
60 1.163416075193977939e+01 -5.966853515275828101e+01 3.597091967939753943e-01
61 3.356204504854510162e+01 -6.380712359161313429e+01 4.095913676451878871e-01
62 4.816988423653027240e+01 -6.375133583136648951e+01 3.994984292342351750e-01
63 6.277772316326640123e+01 -6.369554807276368535e+01 3.893720701423539765e-01
64 7.738556194791442522e+01 -6.363976041396360728e+01 3.892122880744999236e-01
65 -1.417964622589952910e+02 -4.760750457260500212e+01 2.382470768196967015e-01
66 -1.271886205996254517e+02 -4.755171708225471860e+01 2.285552023733892213e-01
67 -1.125807790239357757e+02 -4.749592951835269616e+01 2.088299073601049827e-01
68 -9.797293760145882402e+01 -4.744014188075050953e+01 1.790711902065709182e-01
69 -8.336509718393450896e+01 -4.738435461791175385e+01 1.992790484082931357e-01
70 -6.875725699780733180e+01 -4.732856742830099961e+01 2.294534864230932669e-01
71 -5.414941756745697887e+01 -4.727278083411793119e+01 3.395945031768867750e-01
72 -3.954157691999862578e+01 -4.721699312471900356e+01 2.997020959975777998e-01
73 -2.493373686679955981e+01 -4.716120578627300830e+01 3.097762678510989076e-01
74 -1.032589685371412891e+01 -4.710541785512266699e+01 2.398170178187584156e-01
75 4.281942743715084987e+00 -4.704963126040175325e+01 3.498243446766515774e-01
76 2.620978835457029277e+01 -5.117821356044593273e+01 2.797400684103727997e-01
77 4.081762755784388474e+01 -5.112242625055638712e+01 2.996638404834151004e-01
78 5.542546628858357849e+01 -5.106663861735083287e+01 2.795541901750944191e-01
79 7.003330482182312267e+01 -5.101085106800483970e+01 2.694111181968175117e-01
80 8.464114348957264156e+01 -5.095506375765245366e+01 2.892346254546360740e-01
81 -1.491486801626922727e+02 -3.498859872159131612e+01 1.981615903381861443e-01
82 -1.345408370008044017e+02 -3.493281105330386538e+01 1.184864263377747307e-01
83 -1.199329953581595163e+02 -3.487702366039361834e+01 8.877784177400016574e-02
84 -1.053251545626776817e+02 -3.482123643499144805e+01 8.903583459584218929e-02
85 -9.071731383958017148e+01 -3.476544915476048203e+01 7.926040451309646073e-02
86 -7.610947349570287201e+01 -3.470966192856129595e+01 7.945155099685585753e-02
87 -6.150163356087770694e+01 -3.465387481335957887e+01 9.960927817559550590e-02
88 -4.689379411574930856e+01 -3.459808796959963928e+01 1.697335822981802522e-01
89 -3.228595401027273226e+01 -3.454230052872985368e+01 1.298244645814250475e-01
