# Number	E	N	U
0 -1.0503529562586760e+02 -1.1072150481411042e+02 8.1120330597202894e-01
1 -9.0427456419574654e+01 -1.1066571204835047e+02 8.1868112341525345e-01
2 -7.5819617213281703e+01 -1.1060991928259052e+02 8.2615894085847796e-01
3 -6.1211778006988766e+01 -1.1055412651683058e+02 8.3363675830170247e-01
4 -4.6603938800695815e+01 -1.1049833375107063e+02 8.4111457574492698e-01
5 -3.1996099594402864e+01 -1.1044254098531070e+02 8.4859239318815149e-01
6 -1.7388260388109927e+01 -1.1038674821955075e+02 8.5607021063137601e-01
7 -2.7804211818169762e+00 -1.1033095545379081e+02 8.6354802807460052e-01
8 1.1827418024475975e+01 -1.1027516268803086e+02 8.7102584551782503e-01
9 2.6435257230768912e+01 -1.1021936992227091e+02 8.7850366296104943e-01
10 4.1043096437061877e+01 -1.1016357715651097e+02 8.8598148040427405e-01
11 -1.1238752726860233e+02 -9.8098612637874069e+01 6.8987948156783196e-01
12 -9.7779688062309390e+01 -9.8042819872114123e+01 6.9735729901105648e-01
13 -8.3171848856016439e+01 -9.7987027106354176e+01 7.0483511645428099e-01
14 -6.8564009649723488e+01 -9.7931234340594230e+01 7.1231293389750550e-01
15 -5.3956170443430544e+01 -9.7875441574834284e+01 7.1979075134073001e-01
16 -3.9348331237137600e+01 -9.7819648809074337e+01 7.2726856878395452e-01
17 -2.4740492030844649e+01 -9.7763856043314391e+01 7.3474638622717903e-01
18 -1.0132652824551698e+01 -9.7708063277554459e+01 7.4222420367040343e-01
19 4.4751863817412527e+00 -9.7652270511794512e+01 7.4970202111362794e-01
20 1.9083025588034189e+01 -9.7596477746034566e+01 7.5717983855685245e-01
21 3.3690864794327155e+01 -9.7540684980274619e+01 7.6465765600007696e-01
22 5.5618727616962644e+01 -1.0167392535134015e+02 8.1506935405910863e-01
23 -1.1973975891133706e+02 -8.5475720461637707e+01 5.6855565716363499e-01
24 -1.0513191970504411e+02 -8.5419927695877760e+01 5.7603347460685950e-01
25 -9.0524080498751161e+01 -8.5364134930117828e+01 5.8351129205008401e-01
26 -7.5916241292458210e+01 -8.5308342164357882e+01 5.9098910949330841e-01
27 -6.1308402086165266e+01 -8.5252549398597935e+01 5.9846692693653303e-01
28 -4.6700562879872322e+01 -8.5196756632837989e+01 6.0594474437975743e-01
29 -3.2092723673579371e+01 -8.5140963867078042e+01 6.1342256182298205e-01
30 -1.7484884467286420e+01 -8.5085171101318096e+01 6.2090037926620645e-01
31 -2.8770452609934836e+00 -8.5029378335558164e+01 6.2837819670943096e-01
32 1.1730793945299467e+01 -8.4973585569798217e+01 6.3585601415265547e-01
33 2.6338633151592404e+01 -8.4917792804038271e+01 6.4333383159587998e-01
34 4.8266495974227894e+01 -8.9051033175103797e+01 6.9374552965491165e-01
35 6.2874335180520859e+01 -8.8995240409343850e+01 7.0122334709813616e-01
36 -1.2709199055407178e+02 -7.2852828285401358e+01 4.4723183275943795e-01
37 -1.1248415134777883e+02 -7.2797035519641412e+01 4.5470965020266246e-01
38 -9.7876312141485897e+01 -7.2741242753881465e+01 4.6218746764588697e-01
39 -8.3268472935192946e+01 -7.2685449988121519e+01 4.6966528508911148e-01
40 -6.8660633728899995e+01 -7.2629657222361573e+01 4.7714310253233599e-01
41 -5.4052794522607044e+01 -7.2573864456601626e+01 4.8462091997556045e-01
42 -3.9444955316314093e+01 -7.2518071690841680e+01 4.9209873741878496e-01
43 -2.4837116110021157e+01 -7.2462278925081748e+01 4.9957655486200947e-01
44 -1.0229276903728206e+01 -7.2406486159321801e+01 5.0705437230523398e-01
45 4.3785623025647453e+00 -7.2350693393561855e+01 5.1453218974845849e-01
46 1.8986401508857682e+01 -7.2294900627801908e+01 5.2201000719168300e-01
47 4.0914264331493172e+01 -7.6428140998867434e+01 5.7242170525071467e-01
48 5.5522103537786137e+01 -7.6372348233107488e+01 5.7989952269393918e-01
49 7.0129942744079074e+01 -7.6316555467347541e+01 5.8737734013716369e-01
50 -1.3444422219680652e+02 -6.0229936109165010e+01 3.2590800835524097e-01
51 -1.1983638299051356e+02 -6.0174143343405063e+01 3.3338582579846548e-01
52 -1.0522854378422062e+02 -6.0118350577645117e+01 3.4086364324169000e-01
53 -9.0620704577927668e+01 -6.0062557811885178e+01 3.4834146068491451e-01
54 -7.6012865371634717e+01 -6.0006765046125231e+01 3.5581927812813902e-01
55 -6.1405026165341773e+01 -5.9950972280365285e+01 3.6329709557136347e-01
56 -4.6797186959048830e+01 -5.9895179514605339e+01 3.7077491301458798e-01
57 -3.2189347752755879e+01 -5.9839386748845399e+01 3.7825273045781249e-01
58 -1.7581508546462928e+01 -5.9783593983085453e+01 3.8573054790103700e-01
59 -2.9736693401699767e+00 -5.9727801217325506e+01 3.9320836534426151e-01
60 1.1634169866122960e+01 -5.9672008451565560e+01 4.0068618278748602e-01
61 3.3562032688758450e+01 -6.3805248822631086e+01 4.5109788084651770e-01
62 4.8169871895051415e+01 -6.3749456056871139e+01 4.5857569828974221e-01
63 6.2777711101344352e+01 -6.3693663291111193e+01 4.6605351573296672e-01
64 7.7385550307637288e+01 -6.3637870525351246e+01 4.7353133317619123e-01
65 -1.4179645383954124e+02 -4.7607043932928661e+01 2.0458418395104394e-01
66 -1.2718861463324829e+02 -4.7551251167168715e+01 2.1206200139426845e-01
67 -1.1258077542695534e+02 -4.7495458401408769e+01 2.1953981883749296e-01
68 -9.7972936220662390e+01 -4.7439665635648829e+01 2.2701763628071747e-01
69 -8.3365097014369439e+01 -4.7383872869888883e+01 2.3449545372394198e-01
70 -6.8757257808076503e+01 -4.7328080104128937e+01 2.4197327116716649e-01
71 -5.4149418601783552e+01 -4.7272287338368990e+01 2.4945108861039100e-01
72 -3.9541579395490601e+01 -4.7216494572609051e+01 2.5692890605361551e-01
73 -2.4933740189197664e+01 -4.7160701806849104e+01 2.6440672349684002e-01
74 -1.0325900982904713e+01 -4.7104909041089158e+01 2.7188454094006453e-01
75 4.2819382233882379e+00 -4.7049116275329212e+01 2.7936235838328893e-01
76 2.6209801046023728e+01 -5.1182356646394730e+01 3.2977405644232066e-01
77 4.0817640252316664e+01 -5.1126563880634784e+01 3.3725187388554517e-01
78 5.5425479458609630e+01 -5.1070771114874837e+01 3.4472969132876968e-01
79 7.0033318664902566e+01 -5.1014978349114891e+01 3.5220750877199419e-01
80 8.4641157871195503e+01 -5.0959185583354952e+01 3.5968532621521870e-01
81 -1.4914868548227597e+02 -3.4984151756692299e+01 8.3260359546846963e-02
82 -1.3454084627598303e+02 -3.4928358990932352e+01 9.0738176990071473e-02
83 -1.1993300706969006e+02 -3.4872566225172406e+01 9.8215994433295983e-02
84 -1.0532516786339713e+02 -3.4816773459412460e+01 1.0569381187652049e-01
85 -9.0717328657104176e+01 -3.4760980693652513e+01 1.1317162931974500e-01
86 -7.6109489450811225e+01 -3.4705187927892581e+01 1.2064944676296951e-01
87 -6.1501650244518281e+01 -3.4649395162132635e+01 1.2812726420619402e-01
88 -4.6893811038225337e+01 -3.4593602396372688e+01 1.3560508164941854e-01
89 -3.2285971831932386e+01 -3.4537809630612742e+01 1.4308289909264305e-01
90 -1.7678132625639435e+01 -3.4482016864852795e+01 1.5056071653586756e-01
91 -3.0702934193464841e+00 -3.4426224099092849e+01 1.5803853397909196e-01
92 1.8857569403288991e+01 -3.8559464470158375e+01 2.0845023203812374e-01
93 3.3465408609581942e+01 -3.8503671704398428e+01 2.1592804948134825e-01
94 4.8073247815874879e+01 -3.8447878938638482e+01 2.2340586692457276e-01
95 6.2681087022167844e+01 -3.8392086172878535e+01 2.3088368436779716e-01
96 7.7288926228460781e+01 -3.8336293407118589e+01 2.3836150181102167e-01
97 9.1896765434753746e+01 -3.8280500641358643e+01 2.4583931925424618e-01
98 -1.5650091712501069e+02 -2.2361259580455950e+01 -3.8063464857350016e-02
99 -1.4189307791871772e+02 -2.2305466814696004e+01 -3.0585647414125505e-02
100 -1.2728523871242479e+02 -2.2249674048936058e+01 -2.3107829970900995e-02
101 -1.1267739950613185e+02 -2.2193881283176111e+01 -1.5630012527676485e-02
102 -9.8069560299838898e+01 -2.2138088517416165e+01 -8.1521950844519742e-03
103 -8.3461721093545947e+01 -2.2082295751656233e+01 -6.7437764122746380e-04
