Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.9,2170943751,1440,1507599.8,1368574.0,31736,6744318,1478892.9,cuMemcpyDtoH_v2
22.6,1092796638,8648,126364.1,13721.5,3474,8769483,294544.2,cuMemAlloc_v2
14.0,678169058,8648,78419.2,8447.0,2095,8489871,186874.7,cuMemFree_v2
9.5,461619103,14,32972793.1,8721.0,1015,255289834,84224262.8,cudaFree
3.2,156264930,1,156264930.0,156264930.0,156264930,156264930,0.0,cuCtxCreate_v2
1.4,66076001,4320,15295.4,13156.5,8298,78890,7379.7,cuMemcpyHtoDAsync_v2
1.2,59318351,1440,41193.3,40422.0,34599,72739,3940.5,cuMemcpyDtoHAsync_v2
1.1,54017830,5040,10717.8,11228.0,5947,50994,2893.6,cuLaunchKernel
0.7,32828928,2160,15198.6,15904.0,8152,44004,4078.3,cudaLaunchKernel
0.4,19439801,5760,3375.0,3570.0,1844,50443,1199.2,cuEventRecord
0.3,16361796,723,22630.4,19992.0,9309,1041996,38160.4,cuMemcpyHtoD_v2
0.1,6507225,720,9037.8,12957.5,3281,23121,4963.4,cudaEventQuery
0.1,6214849,720,8631.7,7613.5,6462,26888,3093.2,cudaMemsetAsync
0.1,5869902,5760,1019.1,661.0,383,13343,887.2,cuEventCreate
0.1,3490247,5760,605.9,542.0,264,11139,351.0,cuEventDestroy_v2
0.0,1818194,720,2525.3,2432.0,2144,11309,573.9,cuEventSynchronize
0.0,1638462,8,204807.8,166302.5,4154,516410,212473.5,cudaMalloc
0.0,1498653,720,2081.5,1946.0,1697,13066,912.0,cudaEventRecord
0.0,697180,6,116196.7,93491.0,84071,171713,41259.8,cuModuleLoadDataEx
0.0,380048,6,63341.3,55006.0,32344,105645,29310.1,cuModuleUnload
0.0,79059,1,79059.0,79059.0,79059,79059,0.0,cuMemGetInfo_v2
0.0,71449,2,35724.5,35724.5,35266,36183,648.4,cudaMemcpy
0.0,41242,8,5155.3,1856.5,1136,21125,7119.2,cudaDeviceSynchronize
0.0,32041,36,890.0,678.5,421,3216,692.6,cudaEventCreateWithFlags
0.0,26097,1,26097.0,26097.0,26097,26097,0.0,cuStreamCreate
0.0,22437,36,623.3,569.5,323,2368,379.9,cudaEventDestroy
0.0,12507,1,12507.0,12507.0,12507,12507,0.0,cuStreamDestroy_v2
0.0,5773,3,1924.3,2056.0,1485,2232,390.5,cuInit
